mid_level_ndbSpec
201
331
374
375
58
121
205
300
35
23
111
69
68
268
29
376
110
377
378
40
92
379
118
41
339
320
298
243
55
17
282
380
381
382
318
514
391
106
383
384
397
244
63
387
385
53
52
386
89
49
109
62
42
108
388
389
120
119
115
43
44
104
212
113
59
368
369
367
338
112
48
45
329
9
56
395
390
51
392
246
60
507
393
99
394
100
